site,city,region,spn,function
C3040016,Istanbul,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3041008,Dubai,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3241100,Kyiv,eu-central-1,europe-central-kudzu,134.238.213.197,INET
C3172024,Nokia-Factory,finland,europe-north-fig,134.238.43.28,INET

C3232008,Espoo,finland,europe-north-fig,134.238.43.28,INET
C3172028,Nokia,finland,europe-north-fig,134.238.43.28,INET
C3244008,Riga,finland,europe-north-fig,134.238.43.28,INET
C3246008,Peetri,finland,europe-north-fig,134.238.43.28,INET
C3247016,Vilnius,finland,europe-north-fig,134.238.43.28,INET

C3240072,Lilla_Edet,sweden,europe-north-stockholm-oleaster,165.85.67.124,INET
C3240101,Falkenberg,sweden,europe-north-stockholm-oleaster,165.85.67.124,INET
C3240102,Falkenberg,sweden,europe-north-stockholm-oleaster,165.85.67.124,INET
C3240078,Molnlycke,sweden,europe-north-stockholm-oleaster,165.85.67.124,INET
C3240086,Stockholm,sweden,europe-north-stockholm-oleaster,165.85.67.124,INET
C3241032,Falkenberg-WH,sweden,europe-north-stockholm-oleaster,165.85.67.124,INET
C3228020,Oslo,sweden,europe-north-stockholm-oleaster,165.85.67.124,INET
C3228028,Oslo,sweden,europe-north-stockholm-oleaster,165.85.67.124,INET
C3241048,Askersund,sweden,europe-north-stockholm-oleaster,165.85.67.124,INET
C3240064,Falkenberg,sweden,europe-north-stockholm-oleaster,165.85.67.124,INET

C3172076,Gien,eu-west-3,france-north-mombin,165.85.254.100,INET
C3064036,Le-Theil,eu-west-3,france-north-mombin,165.85.254.100,INET
C3172232,Kunheim,eu-west-3,france-north-mombin,165.85.254.100,INET
C3064108,Chatellerault,eu-west-3,france-north-mombin,165.85.254.100,INET
C3172072,Acquigny,eu-west-3,france-north-mombin,165.85.254.100,INET
C3172080,Hondouville,eu-west-3,france-north-mombin,165.85.254.100,INET
C3064080,Vibraye,eu-west-3,france-north-mombin,165.85.254.100,INET
C3064016,Saint-Ouen,eu-west-3,france-north-mombin,165.85.254.100,INET
C3064068,Le-Mans,eu-west-3,france-north-mombin,165.85.254.100,INET
C3064032,Le-Theil-sur,eu-west-3,france-north-mombin,165.85.254.100,INET


C3048016,Oakenholt,eu-west-2,europe-northwest-chrysanthemum,165.85.208.201,INET
C3048120,Ashton-in-Makerfield,eu-west-2,europe-northwest-chrysanthemum,165.85.208.201,INET
C3048090,Skelmersdale,eu-west-2,europe-northwest-chrysanthemum,165.85.208.201,INET
C3048038,Prudhoe,eu-west-2,europe-northwest-chrysanthemum,165.85.208.201,INET
C3048082,Manchester,eu-west-2,europe-northwest-chrysanthemum,165.85.208.201,INET
C3048240,Manchester,eu-west-2,europe-northwest-chrysanthemum,165.85.208.201,INET
C3048108,Hull,eu-west-2,europe-northwest-chrysanthemum,165.85.208.201,INET
C3048236,Didsbury,eu-west-2,europe-northwest-chrysanthemum,165.85.208.201,INET
C3048008,Dunstable,eu-west-2,europe-northwest-chrysanthemum,165.85.208.201,INET
C3052064,Dublin,eu-west-2,europe-northwest-chrysanthemum,165.85.208.201,INET

C3172100,Allo,spain-central,europe-southwest-palm,165.85.237.198,INET
C3204024,Las-Palmas,spain-central,europe-southwest-palm,165.85.237.198,INET
C3204008,Madrid,spain-central,europe-southwest-palm,165.85.237.198,INET
C3172096,Barcelona,spain-central,europe-southwest-palm,165.85.237.198,INET
C3200008,Lisboa,spain-central,europe-southwest-palm,165.85.237.198,INET
C3032208,Altopascio,spain-central,europe-southwest-palm,165.85.237.198,INET
C3032158,Lucca2,spain-central,europe-southwest-palm,165.85.237.198,INET
C3032008,Legnano,spain-central,europe-southwest-palm,165.85.237.198,INET
C3032140,Lucca,spain-central,europe-southwest-palm,165.85.237.198,INET
C3032148,Pescia-Collodi,spain-central,europe-southwest-palm,165.85.237.198,INET
C3176016,Assen,netherlands-central,europe-west-jurema,134.238.139.252,INET
C3224008,Warsaw,netherlands-central,europe-west-jurema,134.238.139.252,INET
C3236008,Alleroed,netherlands-central,europe-west-jurema,134.238.139.252,INET
C3112008,Mannheim,netherlands-central,europe-west-jurema,134.238.139.252,INET
C3224048,Olawa,netherlands-central,europe-west-jurema,134.238.139.252,INET
C3112044,Neuss,netherlands-central,europe-west-jurema,134.238.139.252,INET
C3172008,Cuijk,netherlands-central,europe-west-jurema,134.238.139.252,INET
C3176036,Gennep,netherlands-central,europe-west-jurema,134.238.139.252,INET
C3176040,Hoogezand,netherlands-central,europe-west-jurema,134.238.139.252,INET
C3176024,Suameer,netherlands-central,europe-west-jurema,134.238.139.252,INET

C3042008,Midrand,south-africa-west,south-africa-west-zebrawood,196.25.49.18,INET
C3042016,Pinetown,south-africa-west,south-africa-west-zebrawood,196.25.49.18,INET

##Not Done 

